,Date,Locations affected,Number of positive employees,Number of positive students
13,2021-08-17,McMullen-Booth Elementary School,0,2
14,2021-08-17,Midtown Academy,2,1
15,2021-08-17,New Heights Elementary School,0,1
16,2021-08-17,Northeast High School,1,0
17,2021-08-17,Northwest Elementary School,1,0
18,2021-08-17,Oak Grove Middle School,0,3
19,2021-08-17,Oakhurst Elementary School,0,1
20,2021-08-17,Orange Grove Elementary School,1,1
21,2021-08-17,Osceola Fundamental High School,0,2
22,2021-08-17,Osceola Fundamental High School,0,2
23,2021-08-17,Osceola Middle School,1,2
24,2021-08-17,Ozona Elementary School,0,1
0,2021-08-17,Palm Harbor Middle School,0,1
1,2021-08-17,Palm Harbor University High School,1,2
2,2021-08-17,Pasadena Fundamental Elementary School,1,0
3,2021-08-17,Paul B. Stephens ESE Center,1,0
4,2021-08-17,Pinellas Academy of Math and Science,0,4
5,2021-08-17,Pinellas Central Elementary School,1,2
6,2021-08-17,Pinellas Park Elementary School,1,0
7,2021-08-17,Pinellas Park High School,1,1
8,2021-08-17,Pinellas Park Middle School,0,5
9,2021-08-17,Pinellas Technical College St. Petersburg,0,1
10,2021-08-17,Plato Academy Clearwater,1,13
11,2021-08-17,Plato Academy Palm Harbor,0,2
12,2021-08-17,Plato Academy St. Petersburg,0,1
13,2021-08-17,Ridgecrest Elementary School,0,1
14,2021-08-17,Seminole Elementary School,0,1
15,2021-08-17,Seminole High School,0,1
16,2021-08-17,Seminole Middle School,2,0
17,2021-08-17,Seventy-Fourth Street Elementary School,1,0
18,2021-08-17,Shore Acres Elementary School,0,1
19,2021-08-17,Skyview Elementary School,0,1
20,2021-08-17,Southern Oak Elementary School,0,1
21,2021-08-17,St. Petersburg Collegiate Gibbs Campus,0,2
22,2021-08-17,St. Petersburg High School,0,1
23,2021-08-17,Starkey Elementary School,1,0
24,2021-08-17,Sunset Hills Elementary School,2,1
0,2021-08-17,Sutherland Elementary School,0,2
1,2021-08-17,Tarpon Springs Middle School,0,1
2,2021-08-17,Tyrone Middle School,0,2
3,2021-08-17,Walter Pownall Service Center,9,0
4,2021-08-17,Westgate Elementary School,1,0
5,2021-08-16,Administration Building,2,0
6,2021-08-16,Azalea Middle School,0,1
7,2021-08-16,Blanton Elementary School,2,0
8,2021-08-16,Calvin Hunsinger School,1,0
9,2021-08-16,Carwise Middle School,0,1
10,2021-08-16,Clearwater Fundamental Middle School,1,0
11,2021-08-16,Countryside High School,1,0
