Date,Locations affected,Number of positive employees,Number of positive students
10/14/2020,Pinellas Park High School,0,1
10/14/2020,Pinellas Technical College St. Petersburg,0,2
10/14/2020,Ponce de Leon Elementary School,0,1
10/14/2020,Seventy-Fourth Street Elementary School,0,1
10/14/2020,Shore Acres Elementary School,2,0
10/14/2020,Tarpon Springs Fundamental Elementary School,0,1
10/13/2020,Boca Ciega High School,0,1
10/13/2020,Cypress Woods Elementary School,1,0
10/13/2020,East Lake High School,0,2
10/13/2020,Frontier Elementary School,0,1
10/13/2020,Lake St. George Elementary School,1,0
10/13/2020,Oak Grove Middle School,1,0
10/13/2020,Osceola Middle School,1,1
10/13/2020,Palm Harbor University High School,0,1
10/13/2020,Plato Academy St. Petersburg Charter School,1,1
10/13/2020,Seminole High School,0,1
10/12/2020,Bardmoor Elementary School,1,1
10/12/2020,Clearwater Adult Education Center,0,1
10/12/2020,East Lake High School,0,1
10/12/2020,Madeira Beach Fundamental,1,0
10/12/2020,McMullen-Booth Elementary School,0,1
10/12/2020,Plato Academy Palm Harbor Charter School,2,1
10/12/2020,Plato Academy St. Petersburg Charter School,1,0
10/12/2020,Safety Harbor Middle School,0,1
10/12/2020,St. Petersburg High School,0,1
10/12/2020,Tarpon Springs High School,0,1
10/9/2020,Clearwater Adult Education Center,1,0
10/9/2020,Dunedin High School,1,0
10/9/2020,East Lake High School,0,1
10/9/2020,Largo High School,0,1
10/9/2020,Pinellas Primary/Prep Academy Charter,0,1
10/9/2020,Sexton Elementary School,1,0
10/9/2020,St. Petersburg High School,0,2
10/8/2020,Clearwater Fundamental Middle School,0,1
10/8/2020,Discovery Academy of Science Charter School - North,1,0
10/8/2020,Oak Grove Middle School,0,1
10/8/2020,Osceola Fundamental High School,0,3
10/8/2020,San Jose Elementary School,0,1
10/7/2020,Curtis Fundamental Elementary School,0,1
10/7/2020,Forest Lakes Elementary School,0,1
10/7/2020,Meadowlawn Middle School,0,1
10/7/2020,Northeast High School,0,1
10/7/2020,Osceola Fundamental High School,0,2
10/7/2020,Pinellas Park High School,0,1
10/7/2020,St. Petersburg High School,0,3
10/7/2020,Tarpon Springs High School,0,1
10/7/2020,Walter Pownall Service Center,2,0
10/6/2020,Dunedin Elementary School,1,0
10/6/2020,Dunedin Highland Middle School,0,1
10/6/2020,East Lake High School,0,1
10/6/2020,High Point Elementary School,0,1
10/6/2020,Palm Harbor University High School,0,1
10/6/2020,St. Petersburg High School,0,1
10/5/2020,Gibbs High School,0,1
10/5/2020,Oakhurst Elementary School,0,1
10/5/2020,Osceola Middle School,1,0
10/5/2020,St. Petersburg Collegiate Charter High School South Campus,0,1
10/5/2020,Walsingham Elementary School,0,1
10/3/2020,Sutherland Elementary School,0,2
10/2/2020,Bauder Elementary School,1,0
10/2/2020,Clearwater High School,1,0
10/2/2020,Curtis Fundamental Elementary School,0,1
10/2/2020,Mildred Helms Elementary School,1,0
10/2/2020,Palm Harbor University High School,0,1
10/2/2020,Safety Harbor Elementary School,1,0
10/1/2020,Clearview Adult Education Center,0,1
10/1/2020,Clearwater Fundamental Middle School,0,1
10/1/2020,Countryside High School,1,0
10/1/2020,Cross Bayou Elementary School,1,0
10/1/2020,East Lake High School,0,1
10/1/2020,Elisa Nelson Elementary School,0,1
10/1/2020,James B. Sanderlin K-8,1,0
10/1/2020,Tarpon Springs High School,0,1
9/30/2020,East Lake High School,0,1
9/30/2020,High Point Elementary School,1,0
9/30/2020,Osceola Fundamental High School,0,1
9/30/2020,Pasadena Fundamental Elementary School,0,1
9/30/2020,Pinellas Park Middle School,1,0
9/30/2020,Safety Harbor Elementary School,1,0
9/29/2020,Hollins High School,0,1
9/29/2020,Madeira Beach Fundamental,0,1
9/29/2020,Meadowlawn Middle School,0,1
9/29/2020,Mildred Helms Elementary School,0,1
9/29/2020,Pasadena Fundamental Elementary School,0,2
9/29/2020,St. Petersburg High School,0,1
9/29/2020,Tarpon Springs Elementary School,0,1
9/28/2020,Administration Building,1,0
9/28/2020,Cypress Woods Elementary School,0,1
9/28/2020,Madeira Beach Fundamental,0,1
9/28/2020,Osceola Fundamental High School,0,1
9/28/2020,Palm Harbor University High School,1,1
9/28/2020,St. Petersburg High School,0,3
9/28/2020,Tarpon Springs Elementary School,0,2
9/28/2020,Tarpon Springs Middle School,0,1
9/25/2020,Bardmoor Elementary School,0,1
9/25/2020,Clearview Adult Education Center,0,1
9/25/2020,Dunedin Highland Middle School,0,1
9/25/2020,Gibbs High School,0,1
9/24/2020,Garrison-Jones Elementary School,1,0
9/24/2020,Tarpon Springs High School,0,1
9/24/2020,Walter Pownall Service Center,2,0
9/23/2020,Belleair Elementary School,0,2
9/23/2020,East Lake High School,0,2
9/23/2020,Kings Highway Elementary School,0,1
9/23/2020,Osceola Fundamental High School,0,1
9/23/2020,Plato Academy Palm Harbor Charter School,1,1
9/22/2020,Ozona Elementary School,1,0
9/21/2020,Clearwater Fundamental Middle School,0,1
9/21/2020,Countryside High School,0,1
9/21/2020,Hollins High School,0,1
9/21/2020,North Shore Elementary School,0,1
9/21/2020,Pinellas Park Middle School,1,0
9/21/2020,Richard O. Jacobson Technical High School,0,1
9/18/2020,East Lake High School,1,0
9/18/2020,Garrison-Jones Elementary School,1,0
9/18/2020,Oldsmar Elementary School,0,1
9/18/2020,Westgate Elementary School,0,2
9/17/2020,Calvin Hunsinger School,1,0
9/17/2020,Lakewood High School,0,1
9/17/2020,Madeira Beach Fundamental,0,1
9/17/2020,Northwest Elementary School,0,1
9/17/2020,Pinellas Park High School,1,0
9/17/2020,Plato Academy Clearwater Charter School,0,1
9/17/2020,Westgate Elementary School,0,2
9/16/2020,Bay Point Middle School,0,1
9/16/2020,Eisenhower Elementary School,0,3
9/16/2020,Osceola Fundamental High School,0,1
9/16/2020,Pinellas Park High School,1,0
9/16/2020,Tarpon Springs High School,0,1
9/15/2020,Boca Ciega High School,0,1
9/15/2020,Carwise Middle School,0,1
9/15/2020,East Lake High School,0,1
9/15/2020,James B. Sanderlin K-8,0,1
9/15/2020,Seminole Middle School,0,1
9/14/2020,Countryside High School,1,0
9/14/2020,Palm Harbor Middle School,0,1
9/14/2020,Palm Harbor University High School,1,0
9/14/2020,Plato Academy Clearwater Charter School,0,1
9/14/2020,St. Petersburg Collegiate Charter High School South Campus,0,1
9/11/2020,Administration Building,1,0
9/11/2020,Bauder Elementary School,0,1
9/11/2020,Carwise Middle School,1,0
9/11/2020,Frontier Elementary School,0,1
9/11/2020,Thurgood Marshall Fundamental Middle School,0,1
9/10/2020,Curlew Creek Elementary School,1,0
9/10/2020,Osceola Middle School,0,1
9/10/2020,Richard O. Jacobson Technical High School,1,0
9/10/2020,Shore Acres Elementary School,1,0
9/9/2020,Boca Ciega High School,0,1
9/9/2020,Clearwater Intermediate School,1,0
9/9/2020,Douglas Jamerson Elementary School,1,1
9/9/2020,Kings Highway Elementary School,1,0
9/9/2020,McMullen-Booth Elementary School,0,2
9/9/2020,Westgate Elementary School,0,1
9/8/2020,Blanton Elementary School,0,1
9/8/2020,Curtis Fundamental Elementary School,0,1
9/8/2020,East Lake High School,0,1
9/8/2020,Ozona Elementary School,1,0
9/8/2020,Tarpon Springs Elementary School,1,0
9/4/2020,Highland Lakes Elementary School,1,0
9/4/2020,Maximo Elementary School,0,1
9/4/2020,Palm Harbor University High School,0,1
9/4/2020,Tarpon Springs Elementary School,0,1
9/4/2020,Thurgood Marshall Fundamental Middle School,0,1
9/3/2020,Clearwater Intermediate School,1,0
9/3/2020,Maximo Elementary School,1,0
9/3/2020,Plato Academy Seminole Charter School,0,3
9/3/2020,Safety Harbor Elementary School,1,0
9/3/2020,Walsingham Elementary School,1,0
9/2/2020,James B. Sanderlin K-8,0,1
9/2/2020,Largo High School,0,1
9/2/2020,St. Petersburg High School,0,1
9/2/2020,Sutherland Elementary School,0,1
9/1/2020,Sunset Hills Elementary School,0,0
8/31/2020,Bardmoor Elementary School,1,0
8/31/2020,Boca Ciega High School,0,1
8/31/2020,Clearwater Intermediate School,2,0
8/31/2020,Largo High School,0,1
8/31/2020,MycroSchool Pinellas,0,1
8/31/2020,Ozona Elementary School,1,0
8/31/2020,Pinellas Park Elementary School,0,1
8/31/2020,Pinellas Park High School,1,0
8/31/2020,Walter Pownall Service Center,3,0
8/28/2020,Walter Pownall Service Center,1,0
8/27/2020,Bear Creek Elementary School,0,1
8/27/2020,Fuguitt Elementary School,1,0
8/27/2020,Walter Pownall Service Center,1,0
8/26/2020,Osceola Middle School,1,0
8/26/2020,Walter Pownall Service Center,1,0
8/25/2020,Carwise Middle School,0,1
8/25/2020,Clearwater High School,0,1
8/25/2020,Pinellas Academy of Math and Science Charter,0,1
8/24/2020,Carwise Middle School,1,0
8/24/2020,Northeast High School,0,1
8/24/2020,Pinellas Park Elementary School,0,1
8/24/2020,Shore Acres Elementary School,0,1
8/24/2020,Walter Pownall Service Center,1,0
