,Date,Locations affected,Number of positive employees,Number of positive students
573,2021-08-01,Campbell Park Elementary School,1,0
574,2021-08-01,Dunedin Elementary School,1,0
575,2021-08-01,Dunedin High School,0,1
576,2021-08-01,Frontier Elementary School,1,0
577,2021-08-01,Lake St. George Elementary School,1,1
578,2021-08-01,Lakewood Elementary School,1,0
579,2021-08-01,Lakewood High School,1,0
580,2021-08-01,Lealman Avenue Elementary School,1,0
581,2021-08-01,Meadowlawn Middle School,1,1
582,2021-08-01,Midtown Academy,1,0
583,2021-08-01,Midtown Academy,1,0
584,2021-08-01,Morgan Fitzgerald Middle School,1,0
585,2021-08-01,Ozona Elementary School,1,0
586,2021-08-01,Pinellas Technical College Clearwater,2,0
587,2021-08-01,Southern Oak Elementary School,1,0
588,2021-08-01,St. Petersburg High School,0,1
589,2021-08-01,Sunset Hills Elementary School,1,0
590,2021-08-01,Tarpon Springs Middle School,1,0
591,2021-08-01,Thurgood Marshall Fundamental Middle School,1,2
592,2021-07-26,Administration Building,4,0
593,2021-07-26,Anona Elementary School,0,1
594,2021-07-26,Brooker Creek Elementary School,1,0
595,2021-07-26,Cross Bayou Elementary School,1,0
596,2021-07-26,Dunedin High School,1,0
597,2021-07-26,Gibbs High School,1,1
598,2021-07-26,James B. Sanderlin K-8,1,0
599,2021-07-26,John Hopkins Middle School,1,0
600,2021-07-26,Madeira Beach Fundamental,0,2
601,2021-07-26,McMullen-Booth Elementary School,1,0
602,2021-07-26,Morgan Fitzgerald Middle School,1,0
603,2021-07-26,Nina Harris ESE,0,1
604,2021-07-26,Northeast High School,1,0
605,2021-07-26,Oldsmar Elementary School,0,2
606,2021-07-26,Pace Center for Girls,1,0
607,2021-07-26,Perkins Elementary School,1,0
608,2021-07-26,Pinellas Park High School,0,1
609,2021-07-26,Richard L. Sanders School,1,0
610,2021-07-26,Seminole High School,0,1
611,2021-07-26,Seminole Middle School,0,1
612,2021-07-26,Sunset Hills Elementary School,1,0
613,2021-07-26,Thurgood Marshall Fundamental Middle School,0,1
614,2021-07-26,Tyrone Middle School,0,1
615,2021-07-26,Walsingham Elementary School,1,0
616,2021-07-26,Walter Pownall Service Center,6,0
617,2021-07-19,Blanton Elementary School,1,0
618,2021-07-19,Calvin Hunsinger School,0,1
619,2021-07-19,Lakewood High School,1,0
620,2021-07-19,Leila Davis Elementary School,1,1
621,2021-07-19,Melrose Elementary School,0,3
622,2021-07-19,Morgan Fitzgerald Middle School,1,0
623,2021-07-19,Northeast High School,0,1
624,2021-07-19,Ozona Elementary School,1,0
625,2021-07-19,Pace Center for Girls,0,1
626,2021-07-19,Pasadena Fundamental Elementary School,0,1
627,2021-07-19,Pinellas Technical College St. Petersburg,1,0
628,2021-07-19,Southern Oak Elementary School,1,0
629,2021-07-19,Tarpon Springs Middle School,1,0
630,2021-07-19,Walter Pownall Service Center,1,0
631,2021-07-19,Westgate Elementary School,1,0
632,2021-07-12,Frontier Elementary School,0,1
633,2021-07-12,Garrison-Jones Elementary School,1,0
634,2021-07-12,Mildred Helms Elementary School,1,0
635,2021-07-12,Paul B. Stephens ESE Center,0,1
636,2021-07-12,Pinellas Park High School,0,1
637,2021-07-12,Pinellas Park Middle School,0,1
638,2021-07-12,Pinellas Technical College Clearwater,1,0
639,2021-07-12,Seminole Middle School,1,0
640,2021-07-12,Sexton Elementary School,1,0
641,2021-07-12,Sutherland Elementary School,1,0
642,2021-07-12,Walter Pownall Service Center,3,0
