,Date,Locations affected,Number of positive employees,Number of positive students,Total cases
21,2021/08/01,Lealman Avenue Elementary School,1.0,0.0,1.0
22,2021/08/01,Meadowlawn Middle School,1.0,1.0,2.0
23,2021/08/01,Midtown Academy,1.0,0.0,1.0
24,2021/08/01,Midtown Academy,1.0,0.0,1.0
0,2021/08/01,Morgan Fitzgerald Middle School,1.0,0.0,1.0
1,2021/08/01,Ozona Elementary School,1.0,0.0,1.0
2,2021/08/01,Pinellas Technical College Clearwater,2.0,0.0,2.0
3,2021/08/01,Southern Oak Elementary School,1.0,0.0,1.0
4,2021/08/01,St. Petersburg High School,0.0,1.0,1.0
5,2021/08/01,Sunset Hills Elementary School,1.0,0.0,1.0
6,2021/08/01,Tarpon Springs Middle School,1.0,0.0,1.0
7,2021/08/01,Thurgood Marshall Fundamental Middle School,1.0,2.0,3.0
8,2021/07/26,Administration Building,4.0,0.0,4.0
9,2021/07/26,Anona Elementary School,0.0,1.0,1.0
10,2021/07/26,Brooker Creek Elementary School,1.0,0.0,1.0
11,2021/07/26,Cross Bayou Elementary School,1.0,0.0,1.0
12,2021/07/26,Dunedin High School,1.0,0.0,1.0
13,2021/07/26,Gibbs High School,1.0,1.0,2.0
14,2021/07/26,James B. Sanderlin K-8,1.0,0.0,1.0
15,2021/07/26,John Hopkins Middle School,1.0,0.0,1.0
16,2021/07/26,Madeira Beach Fundamental,0.0,2.0,2.0
17,2021/07/26,McMullen-Booth Elementary School,1.0,0.0,1.0
18,2021/07/26,Morgan Fitzgerald Middle School,1.0,0.0,1.0
19,2021/07/26,Nina Harris ESE,0.0,1.0,1.0
20,2021/07/26,Northeast High School,1.0,0.0,1.0
21,2021/07/26,Oldsmar Elementary School,0.0,2.0,2.0
22,2021/07/26,Pace Center for Girls,1.0,0.0,1.0
23,2021/07/26,Perkins Elementary School,1.0,0.0,1.0
24,2021/07/26,Pinellas Park High School,0.0,1.0,1.0
0,2021/07/26,Richard L. Sanders School,1.0,0.0,1.0
1,2021/07/26,Seminole High School,0.0,1.0,1.0
2,2021/07/26,Seminole Middle School,0.0,1.0,1.0
3,2021/07/26,Sunset Hills Elementary School,1.0,0.0,1.0
4,2021/07/26,Thurgood Marshall Fundamental Middle School,0.0,1.0,1.0
5,2021/07/26,Tyrone Middle School,0.0,1.0,1.0
6,2021/07/26,Walsingham Elementary School,1.0,0.0,1.0
7,2021/07/26,Walter Pownall Service Center,6.0,0.0,6.0
8,2021/07/19,Blanton Elementary School,1.0,0.0,1.0
9,2021/07/19,Calvin Hunsinger School,0.0,1.0,1.0
10,2021/07/19,Lakewood High School,1.0,0.0,1.0
11,2021/07/19,Leila Davis Elementary School,1.0,1.0,2.0
12,2021/07/19,Melrose Elementary School,0.0,3.0,3.0
13,2021/07/19,Morgan Fitzgerald Middle School,1.0,0.0,1.0
14,2021/07/19,Northeast High School,0.0,1.0,1.0
15,2021/07/19,Ozona Elementary School,1.0,0.0,1.0
16,2021/07/19,Pace Center for Girls,0.0,1.0,1.0
17,2021/07/19,Pasadena Fundamental Elementary School,0.0,1.0,1.0
18,2021/07/19,Pinellas Technical College St. Petersburg,1.0,0.0,1.0
19,2021/07/19,Southern Oak Elementary School,1.0,0.0,1.0
20,2021/07/19,Tarpon Springs Middle School,1.0,0.0,1.0
21,2021/07/19,Walter Pownall Service Center,1.0,0.0,1.0
22,2021/07/19,Westgate Elementary School,1.0,0.0,1.0
23,2021/07/12,Frontier Elementary School,0.0,1.0,1.0
24,2021/07/12,Garrison-Jones Elementary School,1.0,0.0,1.0
0,2021/07/12,Mildred Helms Elementary School,1.0,0.0,1.0
1,2021/07/12,Paul B. Stephens ESE Center,0.0,1.0,1.0
2,2021/07/12,Pinellas Park High School,0.0,1.0,1.0
3,2021/07/12,Pinellas Park Middle School,0.0,1.0,1.0
4,2021/07/12,Pinellas Technical College Clearwater,1.0,0.0,1.0
5,2021/07/12,Seminole Middle School,1.0,0.0,1.0
6,2021/07/12,Sexton Elementary School,1.0,0.0,1.0
7,2021/07/12,Sutherland Elementary School,1.0,0.0,1.0
8,2021/07/12,Walter Pownall Service Center,3.0,0.0,3.0
